,2-aminoadipate,3-phosphoglycerate,alpha-glycerophosphate,4-pyridoxate,aconitate,adenine,adipate,alpha-ketoglutarate,AMP,citrate,isocitrate,CMP,cystathionine,cytidine,DHAP/glyceraldehyde 3P,erythrose-4-phosphate,F1P/F6P/G1P/G6P,hexoses (HILIC neg),fumarate/maleate/alpha-ketoisovalerate,glucuronate,glutathione oxidized,glutathione reduced,GMP,guanosine,hippurate,hypoxanthine,inosine,kynurenine,lactate,lactose,malate,NAD,NADP,oxalate,pantothenate,PEP,ribose-5-P/ribulose5-P,sorbitol,succinate/methylmalonate,sucrose,thymine,UMP,UDP-galactose/UDP-glucose,uracil,urate,uridine,xanthine,glycodeoxycholate/glycochenodeoxycholate,taurodeoxycholate/taurochenodeoxycholate,phosphocreatine,6-phosphogluconate,2-hydroxyglutarate,inositol,malondialdehyde,glycine,alanine,serine,threonine,methionine,aspartate,glutamate,asparagine,glutamine,histidine,arginine,lysine,valine,leucine,isoleucine,phenylalanine,tyrosine,tryptophan,proline,cis/trans-hydroxyproline,ornithine,citrulline,taurine,5-HIAA,serotonin,GABA,acetylglycine,dimethylglycine,homocysteine,SDMA/ADMA,NMMA,allantoin,anthranilic acid,kynurenic acid,5-adenosylhomocysteine,carnosine,N-carbamoyl-beta-alanine,thiamine,niacinamide,betaine,choline,alpha-glycerophosphocholine,creatine,creatinine,trimethylamine-N-oxide,adenosine,thymidine,xanthosine,2-deoxyadenosine,2-deoxycytidine,cotinine,pipecolic acid,pyroglutamic acid,1-methylnicotinamide,butyrobetaine,putrescine,methionine sulfoxide,carnitine,acetylcarnitine,propionylcarnitine,malonylcarnitine,butyrylcarnitine/isobutyrylcarnitine,valerylcarnitine/isovalerylcarnitine/2-methylbutyroylcarnitine,hexanoylcarnitine,heptanoylcarnitine,lauroylcarnitine,myristoylcarnitine,palmitoylcarnitine,stearoylcarnitine,oleylcarnitine,arachidonyl_carnitine,beta-alanine
DMS53_LUNG,74328.0,82025.0,290391.0,124361.0,20181.0,28561.8,91659.0,90007.0,74278.0,1734567.0,64838.0,10134.0,91465.0,12835.0,44735.0,16170.0,643516.0,174863928.0,769713.0,97034.0,68303.0,2423110.0,20606.0,23564.0,77556.0,4797609.0,161998.0,53042.0,20463020.0,98201.0,4726320.0,341967.0,4552.0,108437.0,1589724.0,27509.0,97403.0,16017360.0,6929887.0,83784.0,70079.0,12732.0,88062.0,589244.0,112611.0,28616.0,735964.0,6875.0,27502.0,659971.0,18516.0,2114398.0,200501.0,14459.0,26408.0,1349116.0,43399.0,1425651.0,844687.0,368153.0,1780458.0,50080.0,283011.0,9641849.0,843484.0,6017531.0,2451758.0,4006229.0,2222619.0,9244776.0,274445.0,1997708.0,12316030.0,84762.0,244092.0,21647.0,363644.0,490.0,2982.6,124695.0,1098.0,63783.0,1758.0,209585.0,10310.0,70460.0,1552.0,7539.0,1790.0,32625.0,2250.0,6789556.0,201997.0,18212516.0,36264148.0,917909.0,756794.0,449626.0,12787.0,14784.0,2759.0,9857.0,9665.0,13579.0,12883.0,2853.0,951494.0,1798.0,1367298.0,854674.0,217148.0,495250.0,1786722.0,103720.0,6659.0,7009518.0,3183583.0,12577.0,2429.0,9094.0,22632.0,90911.0,12067.0,80925.0,343.0,16270.0
SW1116_LARGE_INTESTINE,20058.0,37432.0,44056.0,136098.0,36330.0,26336.8,69226.0,99090.0,47245.0,3013982.0,83893.0,7751.8,11119.0,14210.0,9004.0,33237.0,1560906.0,61715035.0,873569.0,44763.0,26525.0,749861.0,15098.0,3315.0,59086.0,124786.0,8956.0,6967.0,10412190.0,41807.0,5549403.0,209713.0,2016.0,103587.2,1966825.0,11031.0,46123.0,34461665.0,7391765.0,29647.0,129696.0,32958.2,133997.0,599331.0,474652.0,266500.0,464653.0,11156.0,36523.0,1440083.0,39455.2,449090.0,189707.0,10860.6,42135.0,1944248.0,1433735.0,2822324.0,1169627.0,370059.0,595597.0,1696439.0,5063687.0,14855268.0,6898484.0,2555879.0,4397405.0,13104378.0,22080290.0,19621079.0,1394195.0,1264798.0,5172509.0,119933.0,175327.0,11637.0,305894.0,1839.0,1463.0,17954.0,1771.6,41444.0,4459.8,166343.0,12143.4,59515.0,926.0,10576.6,1188.0,24660.0,2418.0,1415243.0,275921.0,4415512.0,2287364.0,3313264.0,3956842.0,327966.0,9019.0,8583.0,4717.0,7016.0,985.0,521.0,19327.0,4041.0,682959.0,95772.0,789515.0,336405.0,35225.0,926571.0,7085115.0,445604.0,34739.0,562470.0,218075.0,6870.0,1007.8,437.0,3905.0,13394.0,611.0,13300.0,456.4,49909.2
NCIH1694_LUNG,35961.0,23208.0,104317.0,96609.0,23300.0,29354.6,61789.0,102766.0,39879.0,1199955.0,59641.0,4682.0,1302172.0,58409.4,21500.0,14020.0,754475.0,157955562.0,1481816.0,90518.0,6297.0,290971.0,11356.0,9610.6,85189.0,38096.0,13443.0,13824.0,19396025.0,36463.0,9257479.0,192234.0,2815.0,70566.0,9804872.0,3283.0,85160.0,20516652.0,9270389.0,152197.2,281605.6,22321.0,299183.0,794039.0,542882.0,40247.0,1076397.0,28918.0,4859070.0,1704076.0,60222.0,1168541.0,555631.0,9616.0,8530.0,723164.0,414847.0,739248.0,263457.0,492011.0,1962600.0,118205.0,8056284.0,2264909.0,2869819.0,3177171.0,2752098.0,5986697.0,6435453.0,7333737.0,264435.0,659595.0,8628767.0,27892.0,1165369.0,20183.0,179833.0,508.4,2541.4,174551.0,1384.8,67699.2,686.0,301273.0,12462.0,89193.0,770.0,6342.0,574.0,29162.0,7630.0,3310607.0,597607.0,5025430.0,8756289.0,674260.0,2405679.0,498744.0,5890.0,19154.0,53021.0,7756.0,13060.0,167348.0,7169.0,7367.0,737705.0,36846.0,1002090.0,1364250.0,26418.0,678372.0,6426892.0,643236.6,9562.0,278319.2,112792.8,7527.8,1192.8,633.4,1839.6,5380.0,2769.6,5210.0,477.6,27752.2
P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17040.0,48083.0,317952.0,21911.0,18285.0,38315.0,62974.0,81978.0,98365.0,2268531.0,114613.0,16788.0,50176.0,23089.0,23179.0,8943.8,349232.0,17785473.0,1066284.0,31252.0,31216.0,749964.0,17060.0,928.0,12932.0,39418.6,7443.0,4002.0,17397273.0,8295.0,7943827.0,214552.0,3693.0,99578.0,1376350.0,5394.0,62011.0,11712716.0,2205606.0,33334.0,145696.4,92588.0,332302.0,199315.0,368666.0,63572.0,199399.0,8715.0,998738.0,1774.0,14701.0,222110.0,115670.0,6750.0,3683.0,69513.0,99021.0,75701.0,42551.0,127682.0,1444007.0,126080.0,2081680.0,307375.0,893291.0,112812.0,219701.0,952151.0,1038487.0,610301.0,26773.0,86440.0,3674886.0,206789.0,217658.0,19111.0,537238.0,610.0,2446.0,17858.0,1581.0,28466.0,484.0,56647.0,2079.0,18795.0,556.0,1658.0,1890.0,9452.0,242.0,327530.0,83850.0,2047831.0,4481071.0,120416.0,522489.0,166747.0,5598.0,2906.0,1766.0,15210.0,3686.0,44274.0,9572.0,540.0,147838.0,1781.0,126966.0,393049.0,4468.0,170517.0,439838.0,268949.0,1863.0,765182.0,18088.0,2196.0,936.4,2427.2,1233.0,2814.0,672.0,500.0,502.0,20158.0
HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,5802.0,7481.0,398065.0,66503.6,3209.0,13996.0,45478.0,32437.2,22039.0,178189.0,7564.0,3717.8,21769.8,11081.0,31762.2,6633.8,73479.0,26338338.0,525532.0,53352.0,11175.0,256541.0,5039.0,3444.2,10835.0,260586.0,6256.0,2301.2,4022447.0,6260.0,1579410.0,28218.0,1166.4,82471.0,376625.0,1403.0,10968.0,5959332.0,1404134.0,31610.0,41956.0,7451.0,45805.0,127653.0,185658.0,27764.0,126014.0,2935.0,432089.0,16954.0,9835.0,45369.0,31394.0,6448.2,1747.0,51773.0,86629.0,159705.0,51104.0,74848.0,364412.0,27888.0,2084063.0,678547.0,694178.0,592460.0,517268.0,1074611.0,1188593.0,1223794.0,52906.0,122179.0,1841945.0,11131.0,170093.0,25138.0,66321.0,361.0,3359.0,7894.0,2206.0,24478.0,406.4,38523.0,2370.0,23619.0,780.0,2178.0,272.0,12413.0,544.0,593008.0,127798.0,1003272.0,2620041.0,179100.0,601687.0,86536.0,7771.0,6319.0,4881.0,2175.0,1784.0,16805.0,36087.0,102.0,177825.0,4091.0,63248.0,145001.0,5024.0,114302.0,684947.0,133818.0,1935.0,50646.0,13239.0,1843.0,228.0,899.2,501.0,4726.0,1679.0,1251.0,252.0,4685.0
UMUC3_URINARY_TRACT,32089.0,59566.0,538976.0,62145.4,10550.6,20447.2,33585.6,19823.0,643143.0,775236.0,58088.0,29417.0,134148.0,119211.0,19124.0,8229.0,115337.0,1272213.0,343055.0,17549.0,8646.0,963961.0,73533.0,33739.0,8456.0,218959.0,121591.0,7279.2,3776374.0,12919.0,2635443.0,134017.0,1642.6,66060.0,402799.0,8762.0,24096.0,2185703.0,1121067.0,35294.0,30891.6,115498.0,46395.0,204707.0,74582.0,334379.0,66595.0,2233.6,228365.0,143174.0,8050.0,253181.0,69266.0,5352.2,1367.0,165418.0,11259.0,213637.0,30356.0,64906.0,945959.0,83167.0,213625.0,1908324.0,849728.0,320874.0,379943.0,1186820.0,1374519.0,1652876.0,69048.0,220797.0,4511223.0,27015.0,159251.0,8126.0,110735.0,314.8,680.0,23470.0,711.0,9400.0,1472.0,81663.0,7871.0,6768.0,627.0,985.0,13162.0,4823.0,9798.0,136964.0,22824.0,1201376.0,3550380.0,276227.0,1006623.0,57868.0,5610.0,58206.0,4198.0,2437.0,470.0,4692.0,2588.0,1073.0,35523.0,295523.0,330489.0,69645.0,3223.0,107987.0,1435445.0,29167.0,20265.0,630085.0,723423.0,12409.0,3066.0,376.0,8641.0,88936.0,17326.0,44540.0,147.0,12612.0
HOS_BONE,93311.0,85054.0,464172.0,38043.0,101121.0,54101.0,77584.0,197488.0,69019.0,4547901.0,345423.0,9658.0,449920.0,14918.0,96434.0,30403.0,1243279.0,19144305.0,2452952.0,150866.0,73283.0,2133267.0,11322.0,3292.0,63219.0,18854.0,10367.0,7262.0,29269814.0,30225.0,19566575.0,581610.0,4191.0,85916.0,4153383.0,10301.0,158489.0,21677860.0,6940936.0,27670.0,216768.6,18653.0,723488.0,403438.0,545466.0,35864.0,640042.0,8903.0,675623.2,2901484.0,39360.0,759472.0,257967.0,30564.0,7240.0,729435.0,29420.0,854606.0,134005.0,201442.0,4524636.0,153500.0,2804376.0,1896742.0,1739512.0,1009794.0,1800109.0,4152031.0,5169363.0,5915564.0,235304.0,664992.0,11198303.0,151141.0,537865.0,17780.0,782622.0,1552.0,6235.0,138060.0,1485.0,63781.0,7250.0,221995.0,11292.0,63380.0,738.0,7201.0,2639.0,19710.0,22504.0,1294083.0,123792.0,4290359.0,647698.0,435255.0,4290835.0,887225.0,8701.0,14062.0,2641.0,7107.0,8166.0,12692.0,12514.0,928.0,422674.0,5993724.0,1270362.0,1185053.0,9549.0,1362505.0,8998136.0,3424669.0,33171.0,2500528.0,664123.0,8523.0,716.0,275.0,2274.6,1168.0,694.0,1155.0,628.0,100985.0
HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,22070.0,10378.0,101257.0,55105.0,31723.0,29544.0,62262.0,50442.6,1025360.0,1943516.0,74097.0,55531.0,3007.0,570078.0,29808.8,7129.4,139300.0,6346263.0,970883.0,14893.0,33097.0,802102.0,70385.0,8313.0,2649.0,561656.0,28776.0,3292.0,9295191.0,12259.0,6739311.0,228281.0,1228.0,53741.0,1237248.0,3945.0,49243.0,5279763.0,2261031.0,18035.0,46056.0,476714.0,336824.0,110076.0,250978.0,856059.0,86982.0,3784.0,401681.0,6296.0,3878.6,174413.0,45948.0,5831.4,5713.0,99080.0,47933.0,82429.0,37871.0,191643.0,2084034.0,150003.0,869935.0,189979.0,707649.0,88536.0,204477.0,872215.0,963426.0,632704.0,27397.0,120479.0,4386090.0,284339.0,165869.0,15308.0,333180.0,293.0,2309.0,14697.0,1506.0,16945.0,528.0,55607.0,1951.0,19423.0,1121.0,705.0,4001.0,3755.0,1094.0,477248.0,140360.0,1280465.0,1430257.0,58083.0,1180390.0,104082.0,6345.0,12233.0,1458.0,5910.0,1331.0,31020.0,9029.0,751.0,85296.0,444564.0,233597.0,656367.0,3416.0,156123.0,1040240.0,134427.0,2731.0,574060.0,83088.0,4673.0,426.0,2438.0,17097.0,61733.0,4398.0,18001.0,224.0,14561.0
RVH421_SKIN,141196.0,186428.0,966999.0,185993.0,146489.0,65638.0,81261.0,595800.0,184465.0,9691861.0,399992.0,27697.0,646774.0,711223.0,39729.0,29218.0,988959.0,24692322.0,3259153.0,245291.0,452748.0,6296009.0,97064.0,306186.0,128376.0,12936.0,225227.0,23213.0,45847623.0,132111.0,20470914.0,2084780.0,41211.0,115099.0,12683185.0,29009.0,136154.0,43215764.0,8804755.0,92919.0,335541.0,54341.8,2088194.0,1367207.0,586669.0,247525.0,930012.0,15191.0,8897933.0,5432150.0,179434.0,1244889.0,311592.0,45161.0,14165.0,2911473.0,68586.0,212055.0,312062.0,583668.0,6344766.0,1950574.0,620440.0,3542541.0,5053056.0,268643.0,128506.0,5790689.0,8973077.0,1559195.0,317336.0,33880.0,35529523.0,2842153.0,1217429.0,126480.0,1221680.0,470.0,5914.0,44360.0,2671.0,124626.0,24709.0,751298.0,69056.0,142396.0,3456.0,20193.0,16010.0,42678.0,12048.0,1485196.0,116048.0,9055955.0,660796.0,1459227.0,14482767.0,1732356.0,10751.0,171524.0,27570.0,14755.0,2586.0,35537.0,4695.0,3858.0,795001.0,893510.0,3539626.0,2114905.0,40575.0,2770276.0,14779799.0,3819787.0,35412.0,928792.0,677433.0,13912.0,1070.0,9975.0,6709.0,9326.0,458.0,5325.0,467.0,104835.0
NCIH1184_LUNG,94943.0,7683.0,92627.0,719834.0,59933.0,29367.0,243727.0,52634.0,28500.0,3433434.0,247526.0,6003.0,112100.0,251102.0,11562.0,2831.0,283808.0,194917901.0,1145659.0,323924.0,14997.0,502068.0,6304.0,49130.0,380848.0,2108385.0,107307.0,25369.0,29966615.0,156843.0,7809217.0,79762.0,12240.2,111273.0,2807279.0,6480.2,35926.0,45662824.0,18519893.0,338116.0,443576.0,9729.0,75899.0,1483469.0,612419.0,571379.0,2936026.0,46519.0,23041124.0,974388.0,5577.0,445883.0,442066.0,16781.0,6706.0,830450.0,1261137.0,727145.0,885741.0,1105749.0,1909185.0,1405674.0,13885674.0,6077755.0,10093224.0,5232567.0,3575944.0,15394720.0,16149704.0,9845886.0,426689.0,1216633.0,12016365.0,729419.0,10726245.0,75042.0,328602.0,916.8,464.0,42158.0,4786.0,183089.0,3044.4,753207.0,45817.0,344256.0,32333.0,28217.0,714.0,143345.0,40101.0,3589656.0,861570.0,9121760.0,11835608.0,410503.0,3261705.0,1843197.0,14071.0,74784.0,82374.0,25625.0,7426.0,172000.0,3745.0,1315.8,2787781.0,61510.0,666671.0,692561.0,91173.0,903510.0,2178641.0,565188.0,20558.0,116385.0,1046303.0,42143.0,6467.0,13832.0,86055.0,663685.0,107623.0,324723.0,450.0,8707.0
