Ensembl Gene ID,EC Number,Gene Symbol and Synonyms,MitoCarta2.0_Score,MitoCarta3.0 Class,TrSSP prediction
ENSG00000000003,-,T245; TM4SF6; TSPAN-6; TSPAN6,-10.0112,0,1
ENSG00000000005,-,CHM1L; BRICD4; TEM; TNMD,-8.6672,0,0
ENSG00000000419,EC 2.4.1.83,MPDS; DPM1; CDGIE,1.6431,0,0
ENSG00000000457,-,PACE-1; PACE1; SCYL3,-6.2297,0,0
ENSG00000000460,-,C1orf112,-8.0704,0,0
ENSG00000000938,EC 2.7.10.2,p55c-fgr; FGR; p55-Fgr; SRC2; c-src2; p58-Fgr; p58c-fgr; c-fgr,1.3533,0,0
ENSG00000000971,-,ARMS1; FHL1; HUS; CFHL3; FH; HF; AMBP1; HF2; AHUS1; HF1; CFH; ARMD4,35.7616,0,0
ENSG00000001036,EC 3.2.1.51,dJ20N2.5; FUCA2,0.8985,0,0
ENSG00000001084,EC 6.3.2.2,GLCLC; GCLC; GCS; GCL; GLCL,37.826,0,0
ENSG00000001167,-,NF-YA; CBF-B; NFYA; CBF-A; HAP2,-10.6961,0,0
ENSG00000001460,-,STPG1; C1orf201; MAPO2,-10.6961,0,0
ENSG00000001461,-,NPAL3; NIPAL3; DJ462O23.2; SLC57A5,-8.0704,0,1
ENSG00000001497,-,LAS1L; Las1-like; WTS; Las1; dJ475B7.2,1.6667,0,0
ENSG00000001561,EC 3.6.1.29,NPP4; ENPP4,-2.3314,0,0
ENSG00000001617,-,SEMA-IV; SEMA3F; SEMAK; SEMA4,-6.2297,0,0
ENSG00000001626,EC 5.6.1.6,dJ760C5.1; CFTR; CF; CFTR/MRP; ABC35; TNR-CFTR; ABCC7; MRP7,0.9725,0,1
ENSG00000001629,EC 2.3.2.31,ANKIB1,-6.2297,0,0
ENSG00000001630,EC 1.14.14.154,CYP51A1; CYP51; P450L1; P450-14DM; LDM; CP51; CYPL1,-4.079,0,1
ENSG00000001631,-,CAM; KRIT1; CCM1,-0.965,0,0
ENSG00000002016,-,RAD52,-10.6961,0,0
ENSG00000002079,-,-,0,-1,-1
ENSG00000002330,-,BCL2L8; BAD; BBC2,1.3533,1,0
ENSG00000002549,EC 3.4.11.5; EC 3.4.13.23; EC 3.4.11.1,PEPS; LAP; LAPEP; LAP3; HEL-S-106,15.0096,1,0
ENSG00000002586,-,HBA71; MIC2X; MIC2Y; CD99; MIC2; MSK5X,1.3533,0,0
ENSG00000002587,EC 2.8.2.23; EC 2.8.2.-,3OST; 3OST1; HS3ST1,-10.6961,0,0
ENSG00000002726,EC 1.4.3.22,KAO; ABP1; DAO; AOC1; ABP; DAO1,-3.4637,0,0
ENSG00000002745,-,WNT16,-10.6961,0,0
ENSG00000002746,EC 2.3.2.26,NEDL1; HECW1,-0.9879,0,0
ENSG00000002822,-,TXBP181; TP53I9; MAD1; MAD1L1; PIG9,-5.5448,0,0
ENSG00000002834,-,MLN50; LASP1; Lasp-1,-3.8147,0,0
ENSG00000002919,-,SNX11,-10.0112,0,0
ENSG00000002933,-,MS4B1; GS188; TMEM176A; HCA112,-0.8138,0,0
ENSG00000003056,-,M6PR; CD-MPR; MPR46; MPR 46; MPR-46; CD-M6PR; SMPR,-8.0704,0,0
ENSG00000003096,-,BKLHD2; KLHL13,-7.3264,0,0
ENSG00000003137,EC 1.14.13.-,P450RAI-2; P450RAI2; CYP26A2; CYP26B1; RHFCA,-6.2297,0,1
ENSG00000003147,-,ICA1; ICAp69; ICA69,-0.8138,0,0
ENSG00000003249,-,DBNDD1,-8.0704,0,0
ENSG00000003393,-,ALS2CR6; ALSJ; PLSJ; IAHSP; ALS2,-8.2811,0,0
ENSG00000003400,EC 3.4.22.63,FLICE-2; ALPS2; FLICE2; CASP10; MCH4,-3.8147,0,0
ENSG00000003402,-,CASH; I-FLICE; c-FLIPL; c-FLIPS; CLARP; c-FLIP; FLAME-1; MRIT; c-FLIPR; CFLAR; Casper; FLIP; CASP8AP1; FLAME; FLAME1; cFLIP,11.431,0,0
ENSG00000003436,-,LACI; TFPI; EPI; TFI; TFPI1,-7.3762,0,0
ENSG00000003509,EC 2.1.1.320,C2orf56; PRO1853; NDUFAF7; MidA,15.9113,1,0
ENSG00000003756,-,RMB5; G15; LUCA-15; RBM5; H37; LUCA15,-0.8138,0,0
ENSG00000003987,EC 3.1.3.64; EC 3.1.3.-,MTMR7,-10.6961,0,0
ENSG00000003989,-,SLC7A2; CAT2; ATRC2; HCAT2,9.7644,0,1
ENSG00000004059,-,ARF5,6.6427,1,0
ENSG00000004139,EC 3.2.2.6; EC 3.2.2.-,SAMD2; SARM1; HsTIR; SARM; hSARM1; MyD88-5,-0.9827,0,0
ENSG00000004142,-,POLD4; p38; POLDIP2; PDIP38,22.0081,0,0
ENSG00000004399,-,PLXND1; PLEXD1,-4.4533,0,0
ENSG00000004455,EC 2.7.4.3; EC 2.7.4.6,ADK2; AK2,17.2313,1,1
ENSG00000004468,EC 3.2.2.6; EC 2.4.99.20,ADPRC1; ADPRC 1; CD38,-10.6961,0,0
ENSG00000004478,EC 5.2.1.8,FKBP51; HBI; FKBP52; FKBP59; FKBP4; Hsp56; PPIase; p52,1.5117,0,0
ENSG00000004487,EC 1.14.99.66,KDM1A; KDM1; LSD1; AOF2; CPRF; BHC110,-3.8147,0,0
ENSG00000004534,-,DEF-3; HLC-11; RBM6; 3G2; g16; NY-LU-12; DEF3,-10.6961,0,0
ENSG00000004660,EC 2.7.11.17,CAMKKA; CAMKK1,-6.2297,0,0
ENSG00000004700,EC 3.6.4.12,RECQL; RECQL1; RecQ1,-3.2256,0,0
ENSG00000004766,-,CCDC132; VPS50; VPS54L,-6.608,0,0
ENSG00000004776,-,Hsp20; PPP1R91; HSPB6; HEL55,-0.9096,0,1
ENSG00000004777,-,ARHGAP33; NOMA-GAP; SNX26; TCGAP,-0.9827,0,0
ENSG00000004779,-,NDUFAB1; SDAP; ACP; ACP1; FASN2A,18.5522,1,1
ENSG00000004799,EC 2.7.11.2; EC 2.7.11.-,PDK4,38.7139,1,0
ENSG00000004809,-,CT2; SLC22A16; FLIPT2; OAT6; OCT6; HEL-S-18; OKB1; dJ261K5.1,20.6189,0,1
ENSG00000004838,-,BLU; CILD22; DNAAF7; ZMYND10; FLU,-6.2297,0,0
ENSG00000004846,-,ABCB5alpha; ABCB5beta; ABCB5; EST422562,-3.2256,0,1
ENSG00000004848,-,EIEE1; MRX29; MRX87; MRX54; MRX76; MRX38; PRTS; MRX33; MRX43; ISSX; MRXS1; ARX; CT121; MRX32; MRX36,-0.9827,0,0
ENSG00000004864,-,NICCD; SLC25A13; ARALAR2; CITRIN; CTLN2,26.2493,1,1
ENSG00000004866,-,ST7; HELG; RAY1; ETS7q; FAM4A; FAM4A1; SEN4; TSG7,-8.0704,0,0
ENSG00000004897,-,H-NUC; HNUC; APC3; ANAPC3; CDC27Hs; D17S978E; CDC27; D0S1430E; NUC2,19.3217,0,0
ENSG00000004939,-,RTA1A; WD1; WR; CD233; DI; SW; WD; CHC; EMPB3; SAO; EPB3; FR; SPH4; AE1; BND3; SLC4A1,-5.0445,0,1
ENSG00000004948,-,CT-R; CALCR; CTR1; CTR; CRT,-10.6961,0,0
ENSG00000004961,EC 4.4.1.17,CCHL; HCCS; LSDMCA1; MCOPS7; MLS,37.826,1,0
ENSG00000004975,-,DVL2,-6.2297,0,0
ENSG00000005001,EC 3.4.21.-,BSSP-4; PRSS22; SP001LA; hBSSP-4,-6.2297,0,0
ENSG00000005007,EC 3.6.4.-,HUPF1; RENT1; UPF1; pNORF1; smg-2; NORF1,-6.2297,0,0
ENSG00000005020,-,SAPS; SCAP2; SKAP55R; RA70; PRAP; SKAP2; SKAP-HOM,-6.2297,0,0
ENSG00000005022,-,ANT2; SLC25A5; T2; AAC2; T3; 2F1,22.6723,1,1
ENSG00000005059,-,MCUB; CCDC109B,12.1476,1,0
ENSG00000005073,-,RUSAT1; HOXA11; HOX1; HOX1I,-7.8105,0,0
ENSG00000005075,-,RPB11; RPB11A; RPB11m; POLR2J; POLR2J1; hRPB14,-7.8105,0,0
ENSG00000005100,EC 3.6.4.13,DHX33; DDX33,-3.3441,0,0
ENSG00000005102,-,MEOX1; MOX1; KFS2,-10.6961,0,0
ENSG00000005108,-,THSD7A,-2.7697,0,0
ENSG00000005156,EC 6.5.1.1,LIG3alpha; LIG3; LIG2,1.8977,0,0
ENSG00000005175,-,hSpagh; RPAP3; Tah1,-0.9291,0,0
ENSG00000005187,EC 6.2.1.17; EC 6.2.1.2,SAH; SA; ACSM3,37.826,1,0
ENSG00000005189,EC 3.1.-.-,REXO5; NEF-sp,-2.1416,0,0
ENSG00000005194,-,Anamorsin; DRE2; PRO0915; CIAE2; CIAPIN1,2.1903,0,0
